minor_name,minor_reqs
Information Systems (Minor),"Requirement 1 — Complete 4 Courses
IS 110 - Spreadsheets & Bus Analysis 1.0
IS 201 - Intro to Information Systems 3.0
IS 302 - Intro Databases (Non-Majors) 3.0
IS 303 - Intro Computer Programming 3.0
Requirement 2 — Complete 2
IS 120 - Intro to Web Development 3.0
IS 315 - Introduction to Python Data Analytics (non-majors) 3.0
IS 355 - Machine Learning Algorithms in Python (non-majors) 2 3.0
IS 515 - Spreadsheets for Bus Analysis 3.0
IS 520 - Spreadsheet Automation 3.0
Requirement 3 — Complete 3 hours
ACC 200 - Principles of Accounting 3.0
ENT 101 - Intro to Entrepreneurship 3.0
EXDM 300 - Creating a Good Life 3.0
FIN 201 - Principles of Finance 3.0
GSCM 201 - Intro Global Supply Chain Mgt 1.5
GSCM 211 - Intro to GSCM International 1.5
HRM 300 - Organizational Behavior 3.0
MKTG 201 - Marketing Management 3.0
MSB 201 - Intro to Business 3.0
MSB 490R - Topics in Business Management - You may take once 0.5v
MSB 494R - On-Campus Experiential Project - You may take once 3.0"
Information Technology (Minor),"Requirement 1 — Complete 3 Courses
IT&C 101 - Cornerstone: Info Tech & Cyber 3.0
IT&C 210A - Web Systems & Security Part 1 2.0
IT&C 210B - Web Systems & Security 2.0
Requirement 2 — Complete 9 hours
Complete three courses from the following to complete the 16 hours required for the minor.
IT&C 252 - Computer Architecture & Org 3.0
IT&C 255 - User Experience Design 3.0
IT&C 327 - Digital Communications 4.0
IT&C 344 - Operating Systems 3.0
IT&C 247 - Networks and Security 3.0
IT&C 350 - Database Principles & Applictn 3.0
IT&C 366 - Defensive Cybersecurity 3.0
IT&C 410 - Advanced Web Technologies 3.0
IT&C 441 - Embedded Computer Systems 3.0
IT&C 450 - Database Administration 3.0
IT&C 492R - Special Problems - You may take once 1.0v
IT&C 515R - Special Topics in IT&C - You may take once 1.0v
IT&C 529 - Advanced Networking 3.0
IT&C 544 - System Administration 3.0
IT&C 548 - Cyber-Physical Systems 3.0
IT&C 555 - Adv Human-Computer Interaction 3.0
IT&C 566 - Digital Forensics 3.0
IT&C 567 - Cybersecurity & Pen Test 3.0
Note: Some of the above courses also have prerequisites, which the student must either take or satisfy in another manner. The main prerequisite is experience using a programming language, preferably C, C++, or Java (see C S 142)."
Interdisciplinary Humanities (Minor),"Requirement 1 — Complete 4 Courses
IHUM 201 - Western Humanities 1 3.0
IHUM 202 - Western Humanities 2 3.0
IHUM 250 - Intro to Interdisciplinary Hum 3.0
IHUM 350 - Interpretation of Lit & Arts 3.0
Requirement 2 — Complete 1 of 7 Courses
IHUM 241 - Humanities of East Asia 3.0
IHUM 242 - Intro to Humanities of Islam 3.0
IHUM 243 - Humanities of South Asia 3.0
IHUM 244 - Humanities of Africa 3.0
IHUM 260 - Humanities of Latin America 3.0
IHUM 261 - AmerHumanities1:Colonial-1876 3.0
IHUM 262 - AmerHumanities2:1877-Present 3.0
Requirement 3 — Complete 1 Course
IHUM 490R - Seminar in the Humanities - You may take once 3.0
Requirement 4 — Obtain confirmation from your advisement center that you have completed the following:
Meet the GE Languages of Learning requirement."
International Cinema Studies (Minor),"Requirement 1 — Complete 1 of 6 Courses
Note: Will not double count with requirement 2 below.
CHIN 342 - Chinese Film in Translation 3.0
FREN 317 - French & Italian Cinema 3.0
GERM 217 - German & Scandinavian Cinema 3.0
PHIL 214 - Intro to the Philosophy of Art 3.0
SPAN 438 - Hispanic Cinema 3.0
TMA 102 - Introduction to Film 3.0
Note: Fren 317 & Ital 317 are equivalent, as are Germ 217 & Scand 217. Any of these four courses could be used in either Requirement 1 or Requirement 2.
Requirement 2 — Complete 1 of 17 Courses
Complete one of the following courses from a department different from the course taken in requirement 1 above:
AM ST 360 - Film in American Culture 3.0
CHIN 342 - Chinese Film in Translation 3.0
CL CV 261 - Gk Rom Cv Lit Film 3.0
CMLIT 310 - Intro Comp Lit 3.0
ENGL 345 - Literature & Film 3.0
FREN 317 - French & Italian Cinema 3.0
GERM 217 - German & Scandinavian Cinema 3.0
PHIL 214 - Intro to the Philosophy of Art 3.0
PORT 438 - Luso-Brazilian Cinema 3.0
PORT 449R - Special Topics in Port Lit - You may take once 3.0
RUSS 343 - Masterpieces of Russian Film 3.0
SPAN 438 - Hispanic Cinema 3.0
TMA 291 - Media Arts History 1 3.0
TMA 292 - Media Arts History 2 3.0
TMA 293 - Hist of Documntry&Nonfic Film 3.0
TMA 294 - History of Animation 3.0
TMA 295 - Contemporary Screens 3.0
Requirement 3 — Complete 3 hours
Complete three credit hours total of the following: (Note: The two registrations MUST BE COMPLETED DURING TWO SEPARATE SEMESTERS/TERMS.)
ICS 290R - International Cinema - You may take once 1.5
ICS 290R - International Cinema - You may take once 1.5
Requirement 4 — Complete 1 Course
ICS 390 - Film & Media Theory 3.0
Requirement 5 — Complete 1 of 6 Courses
Any 400-level course on a cinematic topic offered by a department in the College of Humanities may be used to fulfill the above requirement. See the advisement center.
ICS 490R - Intnatl Cinema Studies Seminar - You may take once 3.0
TMA 477R - Issues in Media Arts - You may take once 3.0
TMA 492R - Media Arts Genres - You may take once 3.0
TMA 494 - Transcendence: Religion & Film 3.0
TMA 497 - Media as a Mirror of Our Times 3.0
TMA 498R - Spec Topics in Media Arts - You may take once 3.0
Requirement 6 — Complete 1 Course
ICS 491 - Int Cinema Studies Capstone 1.0"
International Development (Minor),"Courses do not double count between different requirement sections of this minor.
Requirement 1 — Complete 1 Course
IAS 220 - Intro Devel Stu 3.0
Requirement 2 — Complete 6 hours
Option 2.1 — Complete at least 3 hours up to 6 hours
EDLF 363 - Ed, Poverty & Community Dev 3.0
HLTH 480 - International Health 3.0
MSB 375 - Social Impact 3.0
PWS 420 - Intl Agricultural Development 3.0
SOC 340 - Soc of International Develpmnt 3.0
Option 2.2 — Complete up to 3 Hours
POLI 346 - Southeast Asian Politics 3.0
POLI 347 - Russia/Former Soviet Politics 3.0
POLI 348 - Government & Politics of Asia 3.0
POLI 352 - African Politics 3.0
POLI 357 - Middle East Politics 3.0
POLI 358 - Latin American Politics 3.0
Requirement 3 — Complete 9 hours
Up to 6 credits of the following courses may count if approved by the International Development Faculty Coordinator: HLTH 496R, IAS 397R, IAS 399R, and research or internship experiences in many of the major programs represented in the minor.
Option 3.1 — Complete up to 6 Hours
ANTHR 330 - Peoples of Africa 3.0
ANTHR 340 - Peoples of the Middle East 3.0
ANTHR 341 - Ethnonationalism and SE Asia 3.0
Option 3.2 — Complete up to 6 hours
ECON 431 - Economic Development 3.0
ECON 432 - Economic Growth 3.0
ECON 459 - International Monetary Theory 3.0
Option 3.3 — Complete up to 6 hours
EDLF 362 - Intro International Dev Ed 3.0
EDLF 363 - Ed, Poverty & Community Dev 3.0
EDLF 365 - Ed Policy in Develpg Countries 3.0
Option 3.4 —Complete up to 6 hours
GEOG 101 - Global Environment 3.0
GEOG 255 - Middle & South America 3.0
GEOG 271 - Middle East 3.0
GEOG 272 - East Asia 3.0
GEOG 273 - Southeast Asia 3.0
GEOG 285 - Africa South of the Sahara 3.0
GEOG 306 - Public Lands: Planning & Mgmt 3.0
Option 3.5- Complete up to 6 hours
HIST 261 - Modern Africa 3.0
HIST 290 -Nature and History 3.0
HIST 347 - Chinese Cultural History 3.0
HIST 348 - Modern Southeast Asia 3.0
Option 3.6- Complete up to 3 hours
HLTH 210 - Foundations of Public Health 3.0
HLTH 316 – Health Systems and Policy 3.0
HLTH 322 - Environmental Health 3.0
HLTH 413 - Refugee & Migrant Health 3.0
HLTH 480 - International Health 3.0
Option 3.7- Complete up to 3 hours
POLI 302 - Experimental Research Methods 3.0
POLI 303 - Qualitative Methods 3.0
POLI 342 - Gender and Politics 3.0
POLI 343 – Designing Democ. Constitutions 3.0
POLI 346 - Southeast Asian Politics 3.0
POLI 347 - Russia/Former Soviet Politics 3.0
POLI 348 - Government & Politics of Asia 3.0
POLI 352 - African Politics 3.0
POLI 357 - Middle East Politics 3.0
POLI 358 - Latin American Politics 3.0
POLI 372 - Intrnl Political Economy 3.0
POLI 374 - Ethics & Intl Affairs 3.0
POLI 381 - Intrntl Relatns of Middle East 3.0
POLI 472 - Intrnl Political Econ of Women 3.0
POLI 475 - Civil Wars & Ethnic Violence 3.0
Option 3.8- Complete up to 3 hours
PWS 150 - Environmental Biology 3.0
PWS 420 - Intl Agricultural Development 3.0
Option 3.9- Complete up to 3 hours
SOC 302 - Evaluation Research 3.0
SOC 340 - Soc of International Develpmnt 3.0
SOC 345 - World Populations 3.0
Option 3.10- Complete up to 6 hours
IAS 300 - Prof Dev International Studies 1.0
IAS 301R - KC Lecture Series - - You may take 2 times 1.0
IAS 302R - International Studies Seminar - You may take 2 times 1.0
IHUM 260 - Humanities of Latin America 3.0
MSB 375 - Social Impact 3.0
NDFS 380- International Nutrition 3.0
SFL 354 - Cross-Cultural Fam & Hum Dev 3.0
SOC W 582 - Refugee Studies 3.0
We encourage all students to earn 3-6 credit hours by completing an international study abroad (IAS 397R), internship, or field school (IAS 399R) experience that focuses on development. For a list of approved programs that will count toward the minor, or to request approval of a program, contact the International Development minor coordinator."
International Strategy and Diplomacy (Minor),"Requirement 1 — Complete 1 of 4 Courses
POLI 150 - Comparative Governmnt&Politics 3.0
POLI 170 - Intro International Politics 3.0
POLI 250 - Principles of Comprtv Politics 3.0
POLI 270 - Principles of Intl Relations 3.0
Requirement 2 — Complete 6 hours
HIST 313 - Strategy in Peace and War 3.0
POLI 340 - Democracy and Autocracy 3.0
POLI 342 - Gender and Politics 3.0
POLI 343 - Designing Democ. Constitutions 3.0
POLI 344 - Comparative Political Econ 3.0
POLI 345 - Comp. Parties and Elections 3.0
POLI 359R - Topics in Comparative Politics - You may take up to 6.0 credit hours 1.0v
POLI 371 - Foreign Policy Analysis 3.0
POLI 372 - Intrnl Political Economy 3.0
POLI 373 - International Law 3.0
POLI 374 - Ethics & Intl Affairs 3.0
POLI 375 - International Organizations 3.0
POLI 377 - National Security Affairs 3.0
POLI 378 - International Conflict 3.0
POLI 379R - Topics in Intl Relations - You may take up to 6.0 credit hours 0.5v
POLI 399R - International Internship - You may take once 0.5v
POLI 444 - Political Econ of Development 3.0
POLI 472 - Intrnl Political Econ of Women 3.0
POLI 473 - Human Rights 3.0
POLI 475 - Civil Wars & Ethnic Violence 3.0
POLI 476 - Terrorism 3.0
POLI 497R - Mentored Research - You may take once 1.0v
Note: Internships and mentored research must be related to international strategy and diplomacy to count for the International Strategy and Diplomacy minor.
Requirement 3 — Complete 3 hours
HIST 393 - US Foreign Relations 3.0
POLI 376 - US Foreign Policy 3.0
POLI 380 - Intrnl Relations of Latin Amer 3.0
POLI 381 - Intrntl Relatns of Middle East 3.0
POLI 382 - IR of North America 3.0
POLI 384 - Internatl Relations of Europe 3.0
POLI 385 - Intrntl Relations of Asia 3.0
POLI 386 - Japanese Foreign Policy 3.0
POLI 387 - Intnl Rel of Devel Countries 3.0
POLI 388 - Chin Foreign Polcy 3.0
Requirement 4 — Complete 6 hours
POLI 341 - European Politics 3.0
POLI 346 - Southeast Asian Politics 3.0
POLI 347 - Russia/Former Soviet Politics 3.0
POLI 348 - Government & Politics of Asia 3.0
POLI 351 - British Government & Politics 3.0
POLI 352 - African Politics 3.0
POLI 353 - China: Government & Politics 3.0
POLI 354 - Japan:Government&Politics 3.0
POLI 355 - Canadian Govt & Politics 3.0
POLI 357 - Middle East Politics 3.0
POLI 358 - Latin American Politics 3.0
POLI 452 - Islam and Politics 3.0
POLI 474 - Arab-Palestn-Israeli Conflct 3.0"
Italian (Minor),"- The French and Italian Department requires a minimum of 9 minor hours to be taken in residence at BYU for this minor program. These hours may also go toward BYU's 30-hour residency requirement for graduation.
- Complete the following prerequisite courses: Ital 101, 102, 201, 202. (May be waived with previous equivalent language experience.)
Requirement 1 — Complete 3 Courses
ITAL 321 - Advanced Language Part 1 3.0
ITAL 322 - Advanced Language Part 2 3.0
ITAL 340 - Intro to Italian Literature 3.0
Requirement 2 — Complete 3 of 13 Courses
ITAL 317 - French & Italian Cinema 3.0
ITAL 360 - Italian Civilization to 1600 3.0
ITAL 361 - Italian Civilization 1600-Pres 3.0
ITAL 363 - Italian Civ on Study Abroad 3.0
ITAL 399R - Academic Internship - You may take once 0.5v
ITAL 445 - Italian Women Writers 3.0
ITAL 446 - Multicultural Italy 3.0
ITAL 447R - Studies in Literature - You may take once 3.0
ITAL 448R - Studies in Visual Cultures - You may take once 3.0
ITAL 449R - Studies in Cultural History - You may take once 3.0
ITAL 460 - Dante's Divine Comedy 3.0
ITAL 495R - Senior Seminar - You may take 2 times 3.0
MSB 596R - Business Italian - You may take once 3.0"
Japanese (Minor),"Complete the following prerequisite courses: Japan 101, 102, 201, 202. (May be waived for students with previous language experience.)
Requirement 1 — Complete 6 Courses
JAPAN 301 - Japanese Reading & Culture 4.0
JAPAN 302 - Readings in History & Culture 4.0
JAPAN 311R - Advanced Communication - You may take once 1.0v
JAPAN 321 - Advanced 1: Current Events 3.0
JAPAN 322 - Advanced Japanese: Modern Lit 3.0
JAPAN 345 - Japanese Culture 3.0"
Japanese Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Complete the following prerequisite courses: Japan 101, 102, 201, 202. (May be waived for students with previous language experience.)
Requirement 1 — Complete 7 Courses
JAPAN 301 - Japanese Reading & Culture 4.0
JAPAN 302 - Readings in History & Culture 4.0
JAPAN 311R - Advanced Communication - You may take once 1.0v
JAPAN 321 - Advanced 1: Current Events 3.0
JAPAN 322 - Advanced Japanese: Modern Lit 3.0
JAPAN 345 - Japanese Culture 3.0
JAPAN 377 - Language Teaching Procedures 3.0
Requirement 2 — Complete 1 of 2 Courses
JAPAN 325 - Structure of Japanese 3.0
JAPAN 326 - Japanese Language in Society 3.0
Requirement 3 — Complete 1 Course
JAPAN 477R - Sec Minor Student Teaching - You may take once 4.0
Requirement 4 — Obtain confirmation from your advisement center that you have completed the following:
Before applying to student teach in the major, complete the Oral Proficiency Interview (OPI) examination with a minimum level of ""Advanced-Low"" in order to be granted Utah state licensure."
Korean (Minor),"Complete the following prerequisite courses: Korea 101, 102, 201, 202. (May be waived for students with previous language experience.)
Requirement 1 — Complete 5 Courses
KOREA 301 - Third-Year Korean 1 4.0
KOREA 302 - Third-Year Korean 2 4.0
KOREA 321 - Select Rdngs of Modern Korean 3.0
KOREA 340 - Korean Literature to 1900 3.0
KOREA 491 - Senior Proficiency Evaluation 0.0
Requirement 2 — Complete 2 of 14 Courses
KOREA 311R - Third-Year Conversation - You may take once 1.0v
KOREA 315 - Sino-Korean Character Workshop 3.0
KOREA 325 - Structure of Korean 3.0
KOREA 343 - Premodern Korean Lit in Trans 3.0
KOREA 344 - Modern Korean Lit in Trans 3.0
KOREA 345 - Korean Culture 3.0
KOREA 346 -North Korean Culture 3.0
KOREA 358R - Korean Religions - You may take once 3.0
KOREA 399R - Academic Internship - You may take once 0.5v
KOREA 401 - Fourth-Year Korean 1 3.0
KOREA 402 - Fourth-Year Korean 2 3.0
KOREA 441 - Classical Korean (Hanmun) 3.0
KOREA 443 - Korean Literature after 1900 3.0
MSB 596R - Business Language - You may take once 3.0"
Latin American Studies (Minor),"Requirement 1 — Complete 1 of 2 Options
Prerequisite courses (may be waived with equivalent experience):
Option 1.1 — Complete 4 Courses
PORT 101 - First-Year Portuguese 4.0
PORT 102 - First-Year Portuguese 4.0
PORT 201 - Third-Semester Portuguese 4.0
PORT 202 - Port Reading & Comprehension 4.0
Option 1.2 — Complete 6 Courses
SPAN 101 - Foundational Spanish 1 4.0
SPAN 102 - Foundational Spanish 2 4.0
SPAN 105 - University Spanish 1 4.0
SPAN 106 - University Spanish 2 4.0
SPAN 205 - University Spanish 3 4.0
SPAN 206 - Intensive Span Skills Develop 4.0
Requirement 2 — Complete 1 of 2 Courses
PORT 321 - 3rd-Yr Port Read, Gram, & Cult 3.0
SPAN 321 - 3rd-Yr Span Read, Gram, & Cult 3.0
Requirement 3 — Complete 1 of 3 Courses
IHUM 260 - Humanities of Latin America 3.0
PORT 355 - Cultures of Brazil 3.0
SPAN 355 - Cultures of Spanish America 3.0
Requirement 4 — Complete 12 Hours
With prior approval from the program coordinator, students may receive up to 3 elective hours for service learning, an internship, or Study Abroad. With prior approval from the program coordinator, FHSS 351 can be substituted when it focuses on Latino civil rights.
Requirement 4.1 — Complete at least 3 Hours up to 12 Hours
ANTHR 355 - Arch Mesoamerica 3.0
GEOG 255 - Middle & South America 3.0
HIST 251 - Con & Col Lat Amer 3.0
HIST 252 - Modern Latin Amer 3.0
HIST 353 - Romance Languages Paleography 3.0
HIST 355 - History of Argentina 3.0
HIST 356 - Brazil 3.0
HIST 357 - Indian in Latin Am 3.0
HIST 358 - Gender & History in Latin Amer 3.0
HIST 359 - Inter-American Relations 3.0
HIST 363 - Spanish Frontier in North Amer 3.0
HIST 385 - Latinos in the United States 3.0
IAS 399R - Academic Internship - You may take once 0.5v
IHUM 260 - Humanities of Latin America 3.0
LT AM 211 - Intro Latin American Studies 3.0
LT AM 495 - Senior Seminar 3.0
POLI 358 - Latin American Politics 3.0
POLI 380 - Intrnl Relations of Latin Amer 3.0
SOC 345 - World Populations 3.0
Requirement 4.2 — Complete up to 9 Hours
PORT 330 - Intro to Port & Brazilian Lit 3.0
PORT 351 - Survey of Lit of Brazil 3.0
SPAN 330 - Intro to Hispanic Literature 3.0
SPAN 351 - Survey of Lit of Span America 3.0
SPAN 395R - Contemporary Culture - You may take once 0.5v
SPAN 423 - Border Spanish 3.0
SPAN 438 - Hispanic Cinema 3.0
SPAN 450R - Early Spanish-American Lit - You may take once 3.0
SPAN 452 - U.S. Latinx Literature 3.0
SPAN 454R - The Spanish-American Novel - You may take once 3.0
SPAN 455R - Spanish-American Poetry - You may take once 3.0
SPAN 456R - Spanish-American Drama - You may take once 3.0
SPAN 459R - Spec Topics in Span-Am Lit - You may take once 3.0"
Latin Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 1 of 2 Options
NOTE: Latin 101, 102, 111 may be waived with equivalent language experience.
Option 1.1 — Complete 2 Courses
LATIN 101 - 1st-Year Latin 4.0
LATIN 102 - 1st-Year Latin 4.0
Option 1.2 — Complete 1 Course
LATIN 111 - Beginning Latin Accelerated 5.0
Requirement 2 — Complete 6 Courses
NOTE: The Latin 302 course is the prerequisite for all 400-level Latin prose courses and the Latin 301 course is the prerequisite for all 400-level Latin poetry courses. Concurrent enrollment will be permitted only in rare and special cases and must have the approval both of the classics section head and of the instructor of the 400-level course concerned.
LATIN 201 - Intermediate Latin 4.0
LATIN 301 - Classical Latin Poetry 3.0
LATIN 302 - Classical Latin Prose 3.0
LATIN 377 - Secondary Tchg Procedures 3.0
LATIN 378 - Practicum in Teaching Latin 1.0
LATIN 401 - Latin Prose Composition 3.0
Requirement 3 — Complete 1 Requirement
Requirement 3.1 — Complete 6 hours
LATIN 411R - Latin Vulgate & Christian Text - You may take once 3.0
LATIN 430 - Livy 3.0
LATIN 431 - Vergil 3.0
LATIN 433 - Cicero 3.0
LATIN 434 - Plautus & Terence 3.0
LATIN 435 - Catullus 3.0
LATIN 436 - Imprl Trag & Epic 3.0
LATIN 437 - Latin Epistle 3.0
LATIN 438 - Horace 3.0
LATIN 439 - Tacitus 3.0
LATIN 440 - Roman Satire 3.0
LATIN 441 - Medieval Latin 3.0
LATIN 490R - Topcs Latin Liter - You may take once 0.5v
Note 1: One course from Cl Cv 246, 307, 340R, 362, or Clscs 430R may be substituted.
Note 2: Latin 411R may be taken only once.
Requirement 4 — Complete 1 Course
LATIN 477R - Sec Minor Student Teaching - You may take once 4.0"
Legal Studies (Minor),"Requirement 1 — Complete 9 hours
Note: PHIL 416 (Philosophy of Law) may be used in place of POLI 364. See your academic advisor for more information.
HIST 392 - US Constitutnl His 3.0
POLI 278 - Statistics for Lawyers 3.0
POLI 312 - American Judicial Politics 3.0
POLI 343 - Designing Democ. Constitutions 3.0
POLI 364 - Jurisprudence 3.0
POLI 373 - International Law 3.0
POLI 393R - Topics in Legal Studies - You may take once 1.0v
POLI 420 - Const Law-Am Federal System 3.0
POLI 421 - Const Law-Rights & Immunities 3.0
POLI 422 - Int & Ideas, Amer Founding 3.0
Requirement 2 — Complete 6 hours
Note: PHIL 416 (Philosophy of Law) may be used in place of POLI 364. See your academic advisor for more information.
FHSS 351 - Civil Rights Seminar 3.0
HIST 392 - US Constitutnl His 3.0
POLI 278 - Statistics for Lawyers 3.0
POLI 312 - American Judicial Politics 3.0
POLI 315 - Congress & Legislative Process 3.0
POLI 323 - Race, Ethnicity, and Gender 3.0
POLI 331 - Politics and Public Policy 3.0
POLI 333 - Politics of Bureaucracy 3.0
POLI 334 - Public Ethics 3.0
POLI 336 - Government and Religion 3.0
POLI 342 - Gender and Politics 3.0
POLI 343 - Designing Democ. Constitutions 3.0
POLI 364 - Jurisprudence 3.0
POLI 365 - Early Amer Political Thought 3.0
POLI 366 - Modern Amer Political Thought 3.0
POLI 373 - International Law 3.0
POLI 375 - International Organizations 3.0
POLI 393R - Topics in Legal Studies - You may take once 1.0v
POLI 399R - Congress Internship - You may take once 0.5v
POLI 420 - Const Law-Am Federal System 3.0
POLI 421 - Const Law-Rights & Immunities 3.0
POLI 422 - Int & Ideas, Amer Founding 3.0
POLI 461 - Federalist Papers 3.0
POLI 473 - Human Rights 3.0
POLI 497R - Mentored Research - You may take once 1.0v
SOC 323 - Sociology of Race & Ethnicity 3.0
STDEV 168R - Law Lecture Series - You may take once 1.0
STDEV 260 - Constitutional Research 1.0
STDEV 261 - The Law in Literature 2.0
STDEV 364 - Mediation Techniques & Practic 3.0
STDEV 365 - Legal Education & Practice 2.0
STDEV 368R - Prelaw Review Journal Writing - You may take once 2.0
STDEV 496R - Advanced Legal Internship - You may take once 1.0v
Note: Up to 3 credit hours of STDEV can count for the Legal Studies minor.
Note: Internships and mentored research must be related to legal studies to count for the Legal Studies minor."
Linguistic Computing (Minor),"Note: A maximum of 9 credit hours may double count between the Linguistics BA and the Linguistic Computing minor.
Requirement 1 — Complete 1 of 2 Courses
ELING 223 - Intro to English Language 3.0
LING 201 - Intro to Linguistics (Modern) 3.0
Requirement 2 — Complete 1 of 2 Courses
ELING 273 - Intro to ELing Resrch Mthds 3.0
LING 240 - Linguistic Tools 1 3.0
Requirement 3 — Complete 4 of 10 Courses
DIGHT 260 - Tools for Text Processing 3.0
DIGHT 390R - Tools Development Seminar - You may take once 1.0v
DIGHT 495R - Digital Humanities Project - You may take once 1.0v
LING 360 - Text Processing and Analysis 3.0
LING 361 - Speech Processing 3.0
LING 440 - Linguistic Tools 2 3.0
LING 480 - Problems in Translation 3.0
LING 485 - Corpus Linguistics 3.0
LING 580R - Prob Ling&App Ling - You may take once 1.0v
LING 581 - Natural Lang Processing 3.0
Note: LING 480, LING 485, LING 580R, DIGHT 390R, and DIGHT 495R must be approved by minor advisor.
Note: Either LING 360 or DIGHT 360, but not both, can be counted towards the fulfillment of Requirement 3."
Linguistics (Minor),"Requirement 1 — Complete 1 Course
LING 201 - Intro to Linguistics (Modern) 3.0
Requirement 2 — Complete 2 of 4 Courses
LING 210 - Sounds of Language 3.0
LING 220 - Structure in Language 3.0
LING 230 - Meaning in Language 3.0
LING 240 - Linguistic Tools 1 3.0
Requirement 3 — Complete 6 hours
Complete 6 hours of electives from other Linguistics course work.
ELING 366- Soc. Media/Mrkt. Analysis 3.0
LING 110 - Introduction to Human Language 3.0
LING 198 - Career Explorations in Ling. 2.0
LING 210 - Sounds of Language 3.0
LING 220 - Structure in Language 3.0
LING 230 - Meaning in Language 3.0
LING 240 - Linguistic Tools 1 3.0
LING 310 - Phonetics 3.0
LING 315 - Phonology 3.0
LING 320 - Morphology 3.0
LING 325 - Syntax 3.0
LING 332 - Semantics 3.0
LING 335 - Pragmatics 3.0
LING 361 - Speech Processing 3.0
LING 377R - Basic Training in TESOL - You may take once 0.5v
LING 399R - Academic Internship: Ling - You may take once 0.5v
LING 421R - Studies in Linguistics - You may take once 3.0
LING 440 - Linguistic Tools 2 3.0
LING 445 - Intro to Psycholinguistics 3.0
LING 452 - Intro to Sociolinguistics 3.0
LING 460 - Typology 3.0
LING 461 - First Language Acquisition 3.0
LING 462 - Second Language Acquisition 3.0
LING 478 - Language Tchg Methods: MTC 3.0
LING 480 - Problems in Translation 3.0
LING 485 - Corpus Linguistics 3.0
LING 495R - Senior Capstone - You may take once 3.0
LING 498 - Career Prep for Ling&ELang Maj 1.0"
